type,symbol,exchangeId,localSymbol,description,conid,underConid,isin,cusip,currency,country,isPrimeExchId,isNewPdt,assocEntityId,fcConid
STK,ECP,ASXCEN,ECP,ECP EMERGING GROWTH LTD,393460421,,AU0000067514,Q1320B108,AUD,AU,,F,e2608074,1
STK,ECS,ASXCEN,ECS,ECS BOTANICS HOLDINGS LTD,374674765,,AU0000052490,Q3R85E104,AUD,AU,,F,e1438951,1
# STK,ECSNC,ASX,ECSNC,ECS BOTANICS HOLD-NEW SHARES,484471842,,AU0000140972,,AUD,AU,T,F,e1438951,1
STK,ECT,CHIXAU,ECT,ENVIRONMENTAL CLEAN TECHNOLO,810648181,,AU0000018137,Q3540T216,AUD,AU,,F,e1442349,1
STK,EDE,CHIXAU,EDE,EDEN INNOVATIONS LTD,44200618,,AU000000EDE1,Q3385D375,AUD,AU,,F,e1438767,1
STK,EDU,ASX,EDU,EDU HOLDINGS LTD,532621076,,AU0000198483,,AUD,AU,T,F,e1408511,1
STK,EDV,CHIXAU,EDV,ENDEAVOUR GROUP LTD/AUSTRALI,497298097,,AU0000154833,Q3482R103,AUD,AU,,F,e4366293,1
STK,EE1,ASX,EE1,EARTHS ENERGY LTD,676592151,,AU0000317976,Q29764182,AUD,AU,T,F,e1635229,1
STK,EEL,CHIXAU,EEL,ENRG ELEMENTS LTD,577579182,,AU0000234676,Q5363G122,AUD,AU,,F,e1630117,1
STK,EFE,CHIXAU,EFE,EASTERN RESOURCES LTD,51217380,,AU000000EFE6,Q3353N108,AUD,AU,,F,e1450935,1
STK,EG1,ASXCEN,EG1,EVERGREEN LITHIUM LTD,624398472,,AU0000265324,Q3R41X105,AUD,AU,,F,e5162703,1
STK,EGG,CHIXAU,EGG,ENERO GROUP LTD,110165063,,AU000000EGG9,Q3526H103,AUD,AU,,F,e1439090,1
STK,EGH,ASX,EGH,EUREKA GROUP HOLDINGS LTD,79726872,,AU000000EGH7,Q8363A152,AUD,AU,T,F,e1439205,1
STK,EGL,CHIXAU,EGL,ENVIRONMENTAL GROUP LTD/THE,14063225,,AU000000EGL9,Q3540U106,AUD,AU,,F,e1442334,1
# STK,EGNN,ASX,EGNN,ENGENCO LTD-NEW,518133492,,AU0000178659,,AUD,AU,T,F,e1438558,1
STK,EGR,ASXCEN,EGR,ECOGRAF LTD,395272239,,AU0000071482,Q33866106,AUD,AU,,F,e1617222,1
STK,EGY,ASX,EGY,ENERGY TECHNOLOGIES LTD,96112029,,AU000000EGY2,Q3525X109,AUD,AU,T,F,e1438853,1
STK,EHL,ASX,EHL,EMECO HOLDINGS LIMITED,41179280,,AU000000EHL7,Q34648156,AUD,AU,T,F,e1428226,1
STK,EIQ,CHIXAU,EIQ,ECHOIQ LTD,531395016,,AU0000195430,Q47390119,AUD,AU,,F,e1619822,1
STK,EL8,ASXCEN,EL8,ELEVATE URANIUM LTD,495733374,,AU0000156416,Q34487100,AUD,AU,,F,e1442809,1
STK,ELD,ASX,ELD,ELDERS LTD,59696057,,AU000000ELD6,Q3414A186,AUD,AU,T,F,e1442361,1
STK,ELS,ASX,ELS,ELSIGHT LTD,278539557,,AU000000ELS4,Q3464C116,AUD,AU,T,F,e3256372,1
STK,ELT,ASXCEN,ELT,ELEMENTOS LTD,71336924,,AU000000ELT2,Q34480154,AUD,AU,,F,e1592878,1
STK,ELV,ASXCEN,ELV,ELEVRA LITHIUM LTD,817960413,,AU0000421851,Q8329N322,AUD,AU,,F,e1438760,1
STK,EM2,CHIXAU,EM2,EAGLE MOUNTAIN MINING LTD,310613312,,AU0000000366,Q3324Q107,AUD,AU,,F,e3279864,1
